Date,Open,High,Low,Close,Volume
2007-04-30,239.81,240.92,235.93,235.93,3645852.0
2007-03-31,231.28,231.93,228.3,229.31,3380552.0
2007-02-28,225.43,227.06,221.74,224.95,8046584.0
2007-01-31,248.49,252.75,248.0,251.0,12402800.0
2006-12-31,231.28,232.47,230.16,230.47,2559612.0
2006-11-30,242.34,245.45,241.02,242.65,5578592.0
2006-10-31,239.27,241.32,237.16,238.43,6290913.0
2006-09-30,202.76,203.01,200.91,201.15,3314271.0
2006-08-31,190.94,191.27,189.29,189.45,2967829.0
2006-07-31,194.19,194.78,191.85,193.49,4598575.0
2006-06-30,208.01,209.87,206.37,209.87,6298846.0
2006-05-31,187.09,189.31,183.57,186.1,7982732.0
2006-04-30,209.52,213.08,208.36,209.18,7425666.0
2006-03-31,194.56,196.13,192.21,195.19,36514857.0
2006-02-28,196.8,198.97,169.42,181.49,39446833.0
2006-01-31,215.5,220.02,212.2,216.55,22449604.0
2005-12-31,208.84,209.31,207.08,207.64,7587928.0
2005-11-30,202.33,204.43,197.98,202.66,15596530.0
2005-10-31,180.3,187.56,179.93,186.26,14349800.0
2005-09-30,157.27,158.91,156.3,158.39,9171299.0
2005-08-31,144.26,144.39,142.32,143.14,5036499.0
2005-07-31,146.22,146.57,143.64,144.02,8374949.0
2005-06-30,147.32,149.61,145.67,147.22,15103830.0
2005-05-31,134.85,139.34,134.82,138.77,22277429.0
2005-04-30,111.07,111.24,109.02,110.11,9183854.0
2005-03-31,89.06,90.79,88.91,90.35,6770462.0
2005-02-28,93.09,95.03,93.02,94.09,7824418.0
2005-01-31,96.94,98.28,95.96,97.91,9600561.0
2004-12-31,99.71,100.04,96.38,96.49,7677229.0
2004-11-30,90.44,91.59,90.22,91.08,7745574.0
2004-10-31,99.53,100.07,95.4,95.42,21183466.0
2004-09-30,65.01,66.22,64.56,64.86,6890125.0
2004-08-31,51.21,51.91,51.13,51.24,2463427.0
